월,연도,원인,건수
4,2015,논밭두렁등소각,5
4,2015,쓰레기소각,3
4,2015,담뱃불실화,0
4,2015,성묘객실화,2
4,2015,어린이불장난,0
4,2015,건축물화재,3
4,2015,기타,18
4,2016,입산자실화,27
4,2016,논밭두렁등소각,16
4,2016,쓰레기소각,15
4,2016,담뱃불실화,2
4,2016,성묘객실화,7
4,2016,어린이불장난,0
4,2016,건축물화재,5
4,2016,기타,14
4,2017,입산자실화,50
4,2017,논밭두렁등소각,12
4,2017,쓰레기소각,23
4,2017,담뱃불실화,5
4,2017,성묘객실화,6
4,2017,어린이불장난,0
4,2017,건축물화재,3
4,2017,기타,23
4,2018,입산자실화,33
4,2018,논밭두렁등소각,18
4,2018,쓰레기소각,9
4,2018,담뱃불실화,1
4,2018,성묘객실화,6
4,2018,어린이불장난,0
4,2018,건축물화재,5
4,2018,기타,16
4,2019,입산자실화,38
4,2019,논밭두렁등소각,18
4,2019,쓰레기소각,22
4,2019,담뱃불실화,7
4,2019,성묘객실화,9
4,2019,어린이불장난,0
4,2019,건축물화재,11
4,2019,기타,47
4,2020,입산자실화,64
4,2020,논밭두렁등소각,12
4,2020,쓰레기소각,11
4,2020,담뱃불실화,18
4,2020,성묘객실화,3
4,2020,어린이불장난,0
4,2020,건축물화재,15
4,2020,기타,61
4,2021,입산자실화,52
4,2021,논밭두렁등소각,4
4,2021,쓰레기소각,4
4,2021,담뱃불실화,8
4,2021,성묘객실화,4
4,2021,어린이불장난,0
4,2021,건축물화재,2
4,2021,기타,20
4,2022,입산자실화,66
4,2022,논밭두렁등소각,11
4,2022,쓰레기소각,20
4,2022,담뱃불실화,9
4,2022,성묘객실화,3
4,2022,건축물화재,8
4,2022,기타,63
4,2023,입산자실화,39
4,2023,논밭두렁등소각,5
4,2023,쓰레기소각,8
4,2023,담뱃불실화,15
4,2023,성묘객실화,6
4,2023,어린이불장난,1
4,2023,건축물화재,4
4,2023,기타,30
4,2024,입산자실화,22
4,2024,논밭두렁등소각,5
4,2024,쓰레기소각,3
4,2024,담뱃불실화,12
4,2024,성묘객실화,1
4,2024,어린이불장난,1
4,2024,건축물화재,0
4,2024,기타,23
4,2025,입산자실화,18
4,2025,논밭두렁등소각,3
4,2025,쓰레기소각,4
4,2025,담뱃불실화,10
4,2025,성묘객실화,2
4,2025,어린이불장난,1
4,2025,건축물화재,4
4,2025,기타,40
5,2006,입산자실화,17
5,2006,논밭두렁등소각,0
5,2006,쓰레기소각,2
5,2006,담뱃불실화,2
5,2006,성묘객실화,1
5,2006,어린이불장난,0
5,2006,건축물화재,0
5,2006,기타,5
5,2007,입산자실화,7
5,2007,논밭두렁등소각,1
5,2007,쓰레기소각,0
5,2007,담뱃불실화,1
5,2007,성묘객실화,0
5,2007,어린이불장난,0
5,2007,건축물화재,0
5,2007,기타,2
5,2008,입산자실화,25
5,2008,논밭두렁등소각,2
5,2008,쓰레기소각,2
5,2008,담뱃불실화,1
5,2008,성묘객실화,1
5,2008,어린이불장난,1
5,2008,건축물화재,0
5,2008,기타,0
5,2009,입산자실화,33
5,2009,논밭두렁등소각,5
5,2009,쓰레기소각,3
5,2009,담뱃불실화,1
5,2009,성묘객실화,1
5,2009,어린이불장난,0
5,2009,건축물화재,0
5,2009,기타,9
5,2010,입산자실화,32
5,2010,논밭두렁등소각,4
5,2010,쓰레기소각,0
5,2010,담뱃불실화,1
5,2010,성묘객실화,1
5,2010,어린이불장난,0
5,2010,건축물화재,2
5,2010,기타,5
5,2011,입산자실화,3
5,2011,논밭두렁등소각,1
5,2011,쓰레기소각,1
5,2011,담뱃불실화,0
5,2011,성묘객실화,0
5,2011,어린이불장난,0
5,2011,건축물화재,0
5,2011,기타,1
5,2012,입산자실화,26
5,2012,논밭두렁등소각,1
5,2012,쓰레기소각,3
5,2012,담뱃불실화,0
5,2012,성묘객실화,0
5,2012,어린이불장난,0
5,2012,건축물화재,0
5,2012,기타,24
5,2013,입산자실화,26
5,2013,논밭두렁등소각,2
5,2013,쓰레기소각,1
5,2013,담뱃불실화,1
5,2013,성묘객실화,0
5,2013,어린이불장난,0
5,2013,건축물화재,0
5,2013,기타,0
5,2014,입산자실화,29
5,2014,논밭두렁등소각,7
5,2014,쓰레기소각,8
5,2014,담뱃불실화,1
5,2014,성묘객실화,0
5,2014,어린이불장난,0
5,2014,건축물화재,0
5,2014,기타,10
5,2015,입산자실화,39
5,2015,논밭두렁등소각,9
5,2015,쓰레기소각,3
5,2015,담뱃불실화,3
5,2015,성묘객실화,0
5,2015,어린이불장난,1
5,2015,건축물화재,0
5,2015,기타,21
5,2016,입산자실화,10
5,2016,논밭두렁등소각,3
5,2016,쓰레기소각,2
5,2016,담뱃불실화,0
5,2016,성묘객실화,0
5,2016,어린이불장난,0
5,2016,건축물화재,0
5,2016,기타,6
5,2017,입산자실화,59
5,2017,논밭두렁등소각,10
5,2017,쓰레기소각,11
5,2017,담뱃불실화,4
5,2017,성묘객실화,0
5,2017,어린이불장난,0
5,2017,건축물화재,3
5,2017,기타,17
5,2018,입산자실화,2
5,2018,논밭두렁등소각,0
5,2018,쓰레기소각,0
5,2018,담뱃불실화,0
5,2018,성묘객실화,1
5,2018,어린이불장난,0
5,2018,건축물화재,0
5,2018,기타,0
5,2019,입산자실화,57
5,2019,논밭두렁등소각,1
5,2019,쓰레기소각,6
